Gene,LogFC
DSEL,1.885169
SYNGR1,-1.1653563
SPTBN1,1.6415096
ANKRD12,1.3211606
TGFB2,1.1651662
KIAA0040,1.9688208
RBP1,1.5331145
STARD13,1.4256503
STARD9,1.9104924
SETBP1,1.0972788
ST8SIA1,1.3831791
OLFML2A,1.2842307
EGFEM1P,1.2459964
CD34,1.1510443
CUL3,1.7617887
EXOC3L4,1.8923026
ANO1,1.0865215
LOC646324,2.1261252
SCNN1G,1.7526745
CFD,2.0348996
CASKIN2,1.0804982
METTL7A,1.4528919
KIAA1462,2.1811339
JAKMIP2,2.0430657
SEMA3B,2.3489774
RAG1,2.5299124
LOC255411,1.3037183
SPN,1.7222598
NOV,2.4724821
LOC339524,1.6446983
RNF122,2.7413517
KHDRBS2,3.3082007
DENND3,1.1414996
SPOCK2,2.4180288
EIF5,1.4785319
ANKRD20A9P,3.668664
ARHGAP6,2.2507234
MEIS1,1.8380658
PRICKLE1,1.098694
CLEC1B,3.5173761
ROR1,1.0048707
LOC100128320,1.6665928
GFRA2,1.7228622
ZNF677,1.7499206
HOXA3,1.6747424
NPR3,1.3367813
THSD4,1.6974338
CES1,1.2982595
FAM189A1,1.9855054
GPBAR1,1.2495817
ARHGEF26,2.3741162
SIRPB1,1.5094043
PLEKHH2,1.4311176
C13orf15,1.658904
NDRG2,1.6914564
C9orf153,1.2337062
NOTCH4,1.355081
SLC2A12,1.6792597
EGFL7,1.8761725
SH2D1B,2.1889898
SOBP,1.5007073
C4orf49,2.0094252
LOC100505933,2.1872358
GPR4,2.1337543
FAM105A,2.7735447
VWF,2.6909313
PDPN,1.9801378
ANKRD20A5P,2.1427473
ST6GALNAC5,2.695544
C21orf71,1.706765
ACACB,1.5235792
LOC285768,1.8105027
AFAP1L1,1.7856457
FGD5,2.0760536
MFAP3L,1.6330273
C9orf129,2.0236692
ABLIM3,2.5523069
LOC285758,1.6468162
SDC2,1.3192954
CDC42EP2,1.910206
GRK5,1.254667
THSD1,1.8509972
SESTD1,1.0611462
C20orf46,1.7253703
RETN,3.0019568
PDE5A,2.2213426
NHSL1,1.9892858
H3F3B,1.448222
CAB39L,1.6138842
SPACA4,1.4792416
ZC3H12B,1.6741504
CAMK2N1,3.1364316
CXorf36,1.6262141
ANKRD20A2,2.3569684
KCTD16,1.8733963
ANXA3,2.4501848
NTNG1,1.3281387
SGCD,1.670362
HDC,1.7977037
KAL1,2.398791
AQP4,3.0590578
PIP5K1B,2.0577241
8-Sep,1.4354789
LPHN2,2.118888
CLDN11,1.5072257
FOXF2,2.0624296
TTN,1.1735111
FLJ45684,1.6423788
NPNT,1.9333676
PCDH12,1.5713918
ADRB2,1.2921672
B3GALNT1,1.5387493
PID1,1.6923998
SH2D3C,1.9106278
P2RY14,1.9571063
LOC572558,2.2568542
TGM1,2.3324382
CCDC85A,2.237524
PTGIR,1.3282317
LOC643650,2.5461689
LPL,2.1344514
RYR2,1.1361668
BCL6B,2.7374303
ARAP3,1.6755891
ABCB1,2.7222353
GPC5,2.1960629
DPT,2.0127113
LIN7A,2.3472114
WASF3,1.4445812
PTPRD,2.246486
USHBP1,2.3984338
STARD8,1.6181216
ADARB1,1.4671466
RGS9BP,3.1402518
NOVA2,1.5787658
CASS4,1.0426787
LINC00472,2.1195304
C9orf150,1.5152872
RECK,2.1383814
P2RY1,2.0338549
MAL,2.2606259
GPC3,2.8142221
JAM2,1.6448164
ACSS3,1.298937
PKIA,1.4743211
TEX14,1.7883838
PHACTR1,1.4059483
LOC283481,1.8795289
LOC100133311,1.7492627
MFAP4,2.214747
NDRG4,2.2260261
LINC00341,1.4140976
CCDC68,1.8037767
RGS9,1.1158127
CAV1,3.1691782
GJC2,2.3947382
NOS2,2.9362951
CACNA2D3,1.9857365
LRRTM4,1.4388203
SHANK3,1.2916081
LRP4,2.1152637
DPP6,2.6110043
KANK4,1.7052669
XKR6,1.2579422
C10orf140,2.1866533
HMGCLL1,1.3644325
LEPR,1.4314753
FZD10,2.5514789
ST6GALNAC3,1.9750675
PTPN21,1.9264574
GPM6B,1.6393571
TBX3,3.5686769
PPARGC1A,2.090988
LOC283392,3.1954795
CCRL1,3.2493993
SLC8A3,1.2413687
PDE2A,1.5008371
ITIH5,1.458589
CYP3A7,1.3954273
PTCRA,1.4997367
UACA,2.0474655
PHLDB2,-1.2412955
ERG,1.5409152
PF4,1.5681377
FRMD3,1.3206362
COPG2IT1,2.1392083
AOC3,2.1792073
RASIP1,2.3153311
TBX2,1.8770478
DUOX1,1.8785734
LOC389033,2.0021248
PDE1C,1.3361402
CAV2,2.4178625
RHOJ,1.5913062
WNT2,1.9599515
SLIT2,2.8317456
PCDH9,2.497107
LRRN4CL,2.7949626
FAM167A,1.970528
HSPA12B,2.6028885
INMT,1.6439294
AATK,3.6333029
EYA4,1.9731042
POPDC3,2.4446836
ABCA6,1.5821317
ICAM4,1.3061725
GATA5,1.064112
BAI3,2.7092208
LDB2,2.4656601
C1orf21,1.4412345
SYNM,2.595708
LOC158376,2.2780945
CLEC1A,1.9079537
GRASP,1.5184544
AOX1,2.6609609
SVEP1,2.6324951
MOGAT1,3.127554
PPP1R17,2.1945452
CHRM2,1.0184839
SEMA5A,2.6020668
ANKRD29,2.4176878
GRRP1,2.1977847
RUNDC3B,2.678804
DMRT2,4.1455988
CFP,1.6347198
WISP2,1.8501166
HOXA5,2.2071401
LOC100507410,1.4994383
FGF12,3.424168
MAOB,1.612312
LOC100507055,2.3931841
LINC00163,2.6535997
MME,2.9584841
ASTN1,1.8859203
LAMA3,2.1868926
PRG4,1.8739522
LOC400550,3.345361
SYNPO2L,1.9366955
TBX5,1.8402849
OXGR1,1.7307884
HOXA4,2.550267
PKHD1L1,3.0181779
KANK3,2.0572185
TCEA2,2.1118729
COL13A1,2.088934
NXPH3,1.4504599
FRAS1,2.3210058
EMCN,2.5769963
RADIL,2.0074158
LOC338653,2.4989286
ANO2,1.7954897
ADARB2,2.8146384
FOXF1,2.3955612
HAS1,3.5319879
LAMC3,1.6549915
FBN3,3.0606634
ROBO4,2.2866911
CDH13,2.9461345
CASP12,2.0856709
C14orf132,1.8306538
PLAC9,2.0901472
ODAM,3.3704402
PSAPL1,3.6993831
L1TD1,2.6185988
C10orf116,2.7630938
C11orf9,1.216115
C20orf202,2.0332708
VGLL3,2.6045303
TEK,2.4932531
FGF10,1.5738085
AFF3,1.5729391
LOC645722,1.9251666
S100A3,2.5547463
MGAT3,2.8221262
RTKN2,3.1775625
CAV3,2.9727142
FAM162B,2.4567762
AFF2,1.8984787
FGF2,2.9325209
MARCO,2.7554695
TUBB1,1.482717
GPIHBP1,3.3399134
CT45A5,2.4561579
STAC,1.7539399
FMO2,2.1821565
KCNA4,2.7953282
WNT11,1.2390316
SEMA3D,3.0025077
FIBIN,4.1974844
VSNL1,1.6970435
CD36,3.3743896
SLC19A3,1.6514929
GHR,2.0072415
TNNC1,3.2613351
SCN3B,2.1027826
PCOLCE2,2.7764094
CNTN6,2.5222115
FBP2,1.7962972
NCKAP5,3.2713438
ITGA8,2.2282518
GRIA1,3.4767891
PEAR1,2.5259418
TMEM100,3.3055687
ADRA1D,2.2147231
ZNF365,2.0937675
HIGD1B,3.0188918
TAL1,2.1844616
CDO1,3.152408
CLEC3B,2.701763
CCDC48,3.5475783
HHIP,4.2662776
MYZAP,2.8639313
C1QTNF7,2.0403063
STXBP6,3.0563027
ADAMTSL3,2.2543975
AGER,3.5142102
DACH1,2.6291794
IHH,2.7161972
PRKG2,2.485157
ABCA8,1.2314624
ECEL1P2,4.5338901
EDN3,3.547662
KLB,1.7057658
C12orf39,2.8486669
SEMA3E,2.2052721
TBX4,2.2196964
FLJ34503,3.1327968
GKN2,3.1330122
C10orf67,2.2696923
SCUBE1,1.2137546
CYP21A2,1.6074219
CLIC5,-1.0087589
SERTM1,3.6453229
ABCG2,1.2862328
RNF182,2.9216373
LOC731424,2.3121441
MAPK4,2.5357446
ITLN1,5.2136408
DEFA3,4.2143815
SOX7,2.0389644
C8B,3.9342349
LOC100127983,3.643271
CCK,4.605647
SCN4B,2.5814189
SMTNL2,1.7318424
CNTFR,1.8719903
SSTR1,3.89325
IGSF10,3.085206
ASPA,2.8975704
RANBP3L,2.1138374
PKNOX2,2.3937167
SH3GL2,2.2245882
CHRDL1,2.3520565
DNASE1L3,2.3562869
FLJ30901,3.1391893
GPM6A,4.0241105
LRRN3,3.4456577
PDE6A,3.2115804
CD5L,1.7314047
PTPRQ,2.3376024
CHRM1,2.5257089
AGTR1,2.4230725
SCN7A,1.2997813
SLC39A8,1.9798247
RBP2,3.3694621
BTNL9,2.77537
MS4A15,4.2713891
WNT3A,2.3911973
COL6A6,3.3520298
RS1,1.0129564
FAM150B,2.4198457
MAMDC2,3.0724745
TCF21,2.2421814
ANKRD1,1.5151082
FIGF,3.5640524
ADH1A,2.9119324
WIF1,4.8259506
GDF10,3.9682623
RSPO1,2.5494216
RSPO2,2.8264082
NECAB1,3.6548234
CLDN18,4.0284962
MYH2,3.204841
ADAMTS8,3.5942148
ACADL,4.091457
SOSTDC1,4.5878108
CA4,4.677416
MYOC,4.2852633
ADH1B,3.6925082
LOC400568,4.635215
ITLN2,5.8529374
SGCG,4.5085572
PITX1,-5.5402261
BPIFA1,-3.8660998
ABCA12,-2.8398843
CXCL13,-4.020608
TMPRSS4,-4.14286
PITX2,-2.845395
FRMD5,-3.2782109
MMP12,-4.3452597
TOX3,-3.7496972
CCNO,-3.8853345
CST2,-1.9409289
RGS17,-2.2448224
C2CD4A,-2.8210028
HS6ST2,-4.7543731
CCDC129,-4.7910156
STRA6,-4.1216584
SYT12,-3.6450718
COL10A1,-5.5192626
B3GNT3,-4.4421481
C9orf140,-2.2361987
ATP10B,-3.9164868
E2F8,-2.895179
RAB26,-3.4559781
SIX4,-2.582837
EPN3,-2.7086767
TMEM63C,-4.6137834
CDC25C,-1.4413097
HMGB3,-2.7730596
GREM1,-3.7159864
ANLN,-1.8412228
CPNE4,-2.0510648
HIST1H2BF,-1.6892817
MAP7D2,-2.8679674
CDCA7,-3.5012325
RHOV,-1.4157842
TROAP,-1.2252045
SPINK1,-5.1825485
C10orf81,-3.6142403
MMP11,-4.5244625
VSTM2L,-3.1329011
GJB2,-4.4853959
MNX1,-5.0828149
EPHA10,-3.976865
CDCA3,-1.451351
ADM2,-3.403209
PYCR1,-2.5965236
SOX2,-3.1294757
CEACAM5,-6.6252957
RAD54L,-1.3611132
SOX2-OT,-1.250826
KIF2C,-1.2006937
GOLGA7B,-2.0214641
KCNQ3,-1.2963556
ERN2,-4.5934258
KIAA1217,-2.4836812
PSAT1,-2.2502709
GPT2,-2.025779
VTCN1,-2.7817895
CP,-3.5012816
STIL,-1.5427821
F12,-1.7339141
REEP6,-2.414367
OTX1,-3.2218321
CDKN2A,-1.9343561
ANKRD36BP2,-1.1811808
CEACAM7,-2.9548724
FGF11,-1.7066685
EGF,-1.8209796
CNFN,-1.4211824
CDCA8,-1.3791049
CELSR3,-1.6397317
ITPKA,-1.5595261
IGSF9,-2.821835
UNC5CL,-2.0350121
MESP1,-3.0804644
SALL4,-2.8423781
ZNF280B,-1.8493742
ANKRD22,-3.6140425
AQP6,-2.8252262
SPP1,-6.2775393
FBXO16,-1.5668252
SLC27A2,-1.5957571
PAX9,-2.0748294
NAT8L,-1.1776788
C1orf81,-3.4262885
RRM2,-1.6277588
DNAH14,-1.6913762
NGEF,-2.4291286
RHBDL2,-3.1679071
DPY19L1,-1.4298773
C6orf99,-1.5924078
C3orf67,-1.7757898
LOC643201,-1.3175326
MSI2,-1.7481964
SBK1,-2.275479
SLC7A5,-2.8995118
GSDMC,-1.3844194
LCN2,-5.1714593
CEACAM1,-2.9330232
STYK1,-1.5190445
TJP3,-1.0941245
LOC284751,-1.1948556
AURKAPS1,-1.8146396
POLE2,-1.3685266
RALGPS2,-2.6319156
CREB3L4,-1.0609786
TMEM184A,-1.0934187
FER1L4,-2.7848703
TMEM61,-1.764806
VPREB3,-2.0993965
HNRNPH1,-2.2870204
ECE2,-1.2120747
ADAM28,-1.9790629
KIAA1024,-1.311588
HIST1H4F,-1.2404173
LOC646851,-1.2353181
SMPDL3B,-1.3024291
PLEK2,-1.3441297
RPL39L,-1.0164983
ERO1L,-1.9797215
LOC100132774,1.3212396
SLC2A1,-1.6375811
PAFAH1B3,-1.9611168
BIK,-3.0237924
LOC645431,-2.0478052
F2RL1,-1.0857677
LOC389641,-1.3901085
NHS,-2.3612397
BAIAP2L1,-1.5294892
GOLM1,-2.1231138
ARHGEF16,-2.4550106
HIST1H2BD,-1.0174843
PC,-1.2634293
FOXA1,-1.2236076
SEC24A,-1.8514156
KCNK12,-2.3881756
ATAD5,-1.0510679
OCIAD2,-2.1866707
IL4I1,-1.8365516
PPAT,-1.3025647
LGR4,-2.3206073
GRTP1,-1.7119097
DDX11,-1.2875316
HSH2D,-2.0050553
PKIB,-2.2132728
C11orf80,-1.6769361
KDELR3,-2.323956
CHAC1,-3.567884
FBXO32,-1.6781722
GPRIN1,-1.2165852
AGR2,-2.1084486
CD24,-2.4419982
PRDX4,-1.287764
LOC100506255,-1.199011
SLC22A18,-2.4898835
PVRL4,-2.5782049
C12orf66,-1.4116935
LOC646976,-1.9250996
ALDH18A1,-1.8033831
RCCD1,-1.0750581
ZNF217,-1.0862821
CEACAM3,-2.6867151
PNMA5,-1.9562621
GPR160,-2.4300544
NLN,-1.4273787
MPP6,-2.1598216
ACP6,-1.4733749
ADCK5,-1.9637722
GMDS,-2.2101785
MAST1,-2.1636343
PABPC1L,-1.5420916
ICA1,-1.287853
LRRC61,-1.1642998
TMEM106B,-1.1707263
E2F5,-1.2383225
C10orf12,-1.2911703
SLC39A11,-1.3348015
TM7SF2,-1.3698746
PPAPDC1B,-1.6288729
SLC2A11,-1.255746
SFXN2,-1.1968995
MTA3,-1.1989675
DEPTOR,-2.6117875
SDC1,-1.7823348
PHLDA2,-2.5557811
MFSD3,-1.9744417
FRK,-1.576951
GALNT7,-1.7792569
HCN3,-1.9113719
TUBBP5,-1.5539586
C4orf48,-1.6045795
GGCT,-1.1400397
CCHCR1,-1.639065
LRG1,-1.2873518
GFPT1,-1.0567085
NARF,-1.1268894
FAM69A,-1.3012873
